CNTSCHID,CNTSTUID,ST001D01T,ST003D02T,ST003D03T,ST004D01T,ST250D06JA,ST250D07JA,PV1MATH,PV1READ,PV1SCIE
76400001,76400396,11,8,2006,2,7640001,7640002,376.167,255.171,391.449
76400001,76400632,10,1,2007,1,7640002,7640002,374.905,453.844,385.54
76400001,76400865,10,11,2006,1,7640001,7640002,439.85,423.108,481.047
76400001,76400936,10,2,2007,2,7640001,7640002,430.583,444.154,413.09
76400001,76401306,10,7,2006,1,7640001,7640002,279.361,320.895,315.831
76400001,76401652,10,2,2007,2,7640001,7640001,345.66,266.419,376.697
76400001,76401681,9,3,2007,1,7640001,7640002,436.901,386.38,436.528
76400001,76401944,10,12,2006,1,7640002,7640002,477.833,494.329,525.609
76400001,76402440,10,1,2007,1,7640002,7640002,342.573,339.25,346.628
76400001,76402738,10,6,2006,2,7640001,7640002,385.541,358.921,359.59
76400001,76403084,10,12,2006,2,7640001,7640002,489.949,434.216,590.017
76400001,76403085,11,8,2006,1,7640001,7640002,392.747,467.054,392.991
76400001,76403220,10,12,2006,1,7640001,7640002,322.92,331.685,397.506
76400001,76403397,10,6,2006,1,7640002,7640002,393.715,455.077,382.422
76400001,76403452,11,8,2006,2,7640001,7640002,440.943,413.204,493.893
76400001,76403865,10,4,2007,2,7640001,7640001,353.967,330.423,402.559
76400001,76403911,10,4,2007,1,7640002,7640002,383.073,355.29,508.351
76400001,76404050,10,4,2007,1,7640001,7640002,372.521,320.296,392.763
76400001,76404265,10,4,2007,1,7640002,7640002,478.166,520.193,529.257
76400001,76404342,10,5,2007,2,7640001,7640002,447.771,477.852,544.466
76400001,76404550,10,12,2006,1,7640002,7640002,287.818,350.716,308.653
76400001,76404749,10,3,2007,1,7640001,7640001,415.617,446.584,410.408
76400001,76405202,10,8,2006,1,7640001,7640002,420.495,421.539,499.854
76400001,76405286,10,1,2007,2,7640002,7640002,432.563,327.536,422.816
76400001,76405398,10,11,2006,1,7640001,7640002,425.952,463.181,405.243
76400001,76405784,10,1,2007,1,7640002,7640002,492.842,500.555,570.412
76400001,76405871,10,2,2007,2,7640001,7640001,323.679,324.93,395.42
76400001,76405932,10,4,2007,1,7640002,7640002,308.486,309.917,374.802
76400001,76406246,10,4,2007,2,7640001,7640001,440.827,423.568,511.457
76400001,76406389,11,9,2006,1,7640001,7640002,414.415,447.068,523.135
76400001,76406426,10,11,2006,2,7640002,7640002,425.534,342.052,417.778
76400001,76406611,9,5,2007,2,7640002,7640002,326.02,300.19,385.727
76400001,76406904,10,8,2006,2,7640001,7640002,265.559,327.557,395.855
76400001,76407109,11,6,2006,1,7640001,7640002,354.148,415.508,389.719
76400001,76407412,9,5,2007,1,7640001,7640002,284.274,277.047,287.332
